input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 3, 224, 224)","(-1, 32, 112, 112)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,344763,6075,"(1, 1)","(1, 1)",0,14450688,10838016,0,"(1, 1)","(1, 1)",1366875,16152,1189920,0.01762080037591041,0,0.75,0,0.011816735253772291,0.7477528202859498,0.015483856201171875,4.59375,4.5391845703125
"(-1, 32, 112, 112)","(-1, 32, 112, 112)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,3612672,42880,"(0, 0)","(1, 1)",0,3612672,42880,0,"(1, 1)","(0, 0)",3612672,42880,0,0.011869331065759638,0,0.011869331065759638,0,0.011869331065759638,0.0,0.05517578125,0.05517578125,0.0
"(-1, 32, 112, 112)","(-1, 16, 112, 112)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,401408,0,"(0, 0)","(0, 0)",0,200704,0,0,"(0, 0)","(0, 0)",401408,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 16, 112, 112)","(-1, 96, 112, 112)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,200704,0,"(0, 0)","(0, 0)",0,1204224,0,0,"(0, 0)","(0, 0)",200704,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 96, 112, 112)","(-1, 96, 56, 56)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,2807136,97632,"(1, 1)","(1, 1)",0,10838016,8128512,0,"(1, 1)","(1, 1)",11032416,258816,881760,0.034779932286857496,0,0.75,0,0.02345959398195282,0.7454752049346645,0.2493896484375,3.4453125,3.3636474609375
"(-1, 96, 56, 56)","(-1, 24, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,301056,0,"(0, 0)","(0, 0)",0,75264,0,0,"(0, 0)","(0, 0)",301056,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 24, 56, 56)","(-1, 144, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,75264,0,"(0, 0)","(0, 0)",0,451584,0,0,"(0, 0)","(0, 0)",75264,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 144, 56, 56)","(-1, 144, 56, 56)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,4064256,96192,"(0, 0)","(1, 1)",0,4064256,96192,0,"(1, 1)","(0, 0)",4064256,96192,0,0.02366780045351474,0,0.02366780045351474,0,0.02366780045351474,0.0,0.125244140625,0.125244140625,0.0
"(-1, 144, 56, 56)","(-1, 24, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,451584,0,"(0, 0)","(0, 0)",0,75264,0,0,"(0, 0)","(0, 0)",451584,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 24, 56, 56)","(-1, 144, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,75264,0,"(0, 0)","(0, 0)",0,451584,0,0,"(0, 0)","(0, 0)",75264,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
