input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 3, 224, 224)","(-1, 16, 112, 112)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,344763,6075,"(1, 1)","(1, 1)",0,7225344,5419008,0,"(1, 1)","(1, 1)",1366875,16152,594960,0.01762080037591041,0,0.75,0,0.011816735253772291,0.7477528202859498,0.015483856201171875,2.296875,2.26959228515625
"(-1, 16, 112, 112)","(-1, 16, 56, 56)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,467856,16272,"(1, 1)","(1, 1)",0,1806336,1354752,0,"(1, 1)","(1, 1)",1838736,43136,146960,0.034779932286857496,0,0.75,0,0.02345959398195282,0.7454752049346645,0.04156494140625,0.57421875,0.56060791015625
"(-1, 16, 1, 1)","(-1, 8, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,16,0,"(0, 0)","(0, 0)",0,8,0,0,"(0, 0)","(0, 0)",16,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 8, 1, 1)","(-1, 16, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,8,0,"(0, 0)","(0, 0)",0,16,0,0,"(0, 0)","(0, 0)",8,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 16, 56, 56)","(-1, 16, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,50176,0,"(0, 0)","(0, 0)",0,50176,0,0,"(0, 0)","(0, 0)",50176,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 16, 56, 56)","(-1, 72, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,50176,0,"(0, 0)","(0, 0)",0,225792,0,0,"(0, 0)","(0, 0)",50176,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 72, 56, 56)","(-1, 72, 28, 28)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,544968,36936,"(1, 1)","(1, 1)",0,2032128,1524096,0,"(1, 1)","(1, 1)",2105352,97344,161352,0.06777645659928656,0,0.75,0,0.04623644882185972,0.7408264462809917,0.094757080078125,0.64599609375,0.615509033203125
"(-1, 72, 28, 28)","(-1, 24, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,56448,0,"(0, 0)","(0, 0)",0,18816,0,0,"(0, 0)","(0, 0)",56448,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 24, 28, 28)","(-1, 88, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,18816,0,"(0, 0)","(0, 0)",0,68992,0,0,"(0, 0)","(0, 0)",18816,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 88, 28, 28)","(-1, 88, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,620928,29216,"(0, 0)","(1, 1)",0,620928,29216,0,"(1, 1)","(0, 0)",620928,29216,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.0389404296875,0.0389404296875,0.0
"(-1, 88, 28, 28)","(-1, 24, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,68992,0,"(0, 0)","(0, 0)",0,18816,0,0,"(0, 0)","(0, 0)",68992,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 24, 28, 28)","(-1, 96, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,18816,0,"(0, 0)","(0, 0)",0,75264,0,0,"(0, 0)","(0, 0)",18816,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 96, 28, 28)","(-1, 96, 14, 14)","(5, 5)","(2, 2)","(2, 2)",0,"(2, 2)",0,540000,82944,"(1, 1)","(2, 2)",0,1881600,1424544,0,"(2, 2)","(1, 1)",2018400,242784,51168,0.1536,0,0.7570918367346938,0,0.12028537455410226,0.7311385459533608,0.1116943359375,0.2578125,0.1951904296875
"(-1, 96, 1, 1)","(-1, 24, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,96,0,"(0, 0)","(0, 0)",0,24,0,0,"(0, 0)","(0, 0)",96,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 24, 1, 1)","(-1, 96, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,24,0,"(0, 0)","(0, 0)",0,96,0,0,"(0, 0)","(0, 0)",24,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 96, 14, 14)","(-1, 40, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,18816,0,"(0, 0)","(0, 0)",0,7840,0,0,"(0, 0)","(0, 0)",18816,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 40, 14, 14)","(-1, 240, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,7840,0,"(0, 0)","(0, 0)",0,47040,0,0,"(0, 0)","(0, 0)",7840,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 240, 14, 14)","(-1, 240, 14, 14)","(5, 5)","(1, 1)","(2, 2)",0,"(2, 2)",0,1176000,192960,"(0, 0)","(2, 2)",0,1176000,192960,0,"(2, 2)","(0, 0)",1176000,192960,0,0.16408163265306122,0,0.16408163265306122,0,0.16408163265306122,0.0,0.1171875,0.1171875,0.0
"(-1, 240, 1, 1)","(-1, 64, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,240,0,"(0, 0)","(0, 0)",0,64,0,0,"(0, 0)","(0, 0)",240,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 64, 1, 1)","(-1, 240, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,64,0,"(0, 0)","(0, 0)",0,240,0,0,"(0, 0)","(0, 0)",64,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 240, 14, 14)","(-1, 40, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47040,0,"(0, 0)","(0, 0)",0,7840,0,0,"(0, 0)","(0, 0)",47040,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 40, 14, 14)","(-1, 240, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,7840,0,"(0, 0)","(0, 0)",0,47040,0,0,"(0, 0)","(0, 0)",7840,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 240, 14, 14)","(-1, 240, 14, 14)","(5, 5)","(1, 1)","(2, 2)",0,"(2, 2)",0,1176000,192960,"(0, 0)","(2, 2)",0,1176000,192960,0,"(2, 2)","(0, 0)",1176000,192960,0,0.16408163265306122,0,0.16408163265306122,0,0.16408163265306122,0.0,0.1171875,0.1171875,0.0
"(-1, 240, 1, 1)","(-1, 64, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,240,0,"(0, 0)","(0, 0)",0,64,0,0,"(0, 0)","(0, 0)",240,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 64, 1, 1)","(-1, 240, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,64,0,"(0, 0)","(0, 0)",0,240,0,0,"(0, 0)","(0, 0)",64,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 240, 14, 14)","(-1, 40, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47040,0,"(0, 0)","(0, 0)",0,7840,0,0,"(0, 0)","(0, 0)",47040,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 40, 14, 14)","(-1, 120, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,7840,0,"(0, 0)","(0, 0)",0,23520,0,0,"(0, 0)","(0, 0)",7840,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 120, 14, 14)","(-1, 120, 14, 14)","(5, 5)","(1, 1)","(2, 2)",0,"(2, 2)",0,588000,96480,"(0, 0)","(2, 2)",0,588000,96480,0,"(2, 2)","(0, 0)",588000,96480,0,0.16408163265306122,0,0.16408163265306122,0,0.16408163265306122,0.0,0.05859375,0.05859375,0.0
"(-1, 120, 1, 1)","(-1, 32, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,120,0,"(0, 0)","(0, 0)",0,32,0,0,"(0, 0)","(0, 0)",120,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 32, 1, 1)","(-1, 120, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,32,0,"(0, 0)","(0, 0)",0,120,0,0,"(0, 0)","(0, 0)",32,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 120, 14, 14)","(-1, 48, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,23520,0,"(0, 0)","(0, 0)",0,9408,0,0,"(0, 0)","(0, 0)",23520,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
