input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 3, 224, 224)","(-1, 96, 109, 109)","(7, 7)","(2, 2)","(0, 0)",0,"(0, 0)",0,1778700,4617,"(1, 1)","(6, 6)",0,236027904,179257248,0,"(0, 0)","(1, 1)",7050267,9195,3379968,0.002595715972339349,0,0.7594748119273219,0,0.0013042059258181287,0.7476905434390198,0.005138397216796875,14.6861572265625,12.8935546875
"(-1, 96, 54, 54)","(-1, 16, 54, 54)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,279936,0,"(0, 0)","(0, 0)",0,46656,0,0,"(0, 0)","(0, 0)",279936,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 16, 54, 54)","(-1, 64, 54, 54)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,46656,0,"(0, 0)","(0, 0)",0,186624,0,0,"(0, 0)","(0, 0)",46656,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 16, 54, 54)","(-1, 64, 54, 54)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,419904,10304,"(0, 0)","(1, 1)",0,1679616,41216,0,"(1, 1)","(0, 0)",419904,10304,0,0.024538942234415485,0,0.024538942234415485,0,0.024538942234415485,0.0,0.013427734375,0.0537109375,0.0
"(-1, 128, 54, 54)","(-1, 16, 54, 54)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,373248,0,"(0, 0)","(0, 0)",0,46656,0,0,"(0, 0)","(0, 0)",373248,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 16, 54, 54)","(-1, 64, 54, 54)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,46656,0,"(0, 0)","(0, 0)",0,186624,0,0,"(0, 0)","(0, 0)",46656,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 16, 54, 54)","(-1, 64, 54, 54)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,419904,10304,"(0, 0)","(1, 1)",0,1679616,41216,0,"(1, 1)","(0, 0)",419904,10304,0,0.024538942234415485,0,0.024538942234415485,0,0.024538942234415485,0.0,0.013427734375,0.0537109375,0.0
"(-1, 128, 54, 54)","(-1, 32, 54, 54)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,373248,0,"(0, 0)","(0, 0)",0,93312,0,0,"(0, 0)","(0, 0)",373248,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 32, 54, 54)","(-1, 128, 54, 54)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,93312,0,"(0, 0)","(0, 0)",0,373248,0,0,"(0, 0)","(0, 0)",93312,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 32, 54, 54)","(-1, 128, 54, 54)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,839808,20608,"(0, 0)","(1, 1)",0,3359232,82432,0,"(1, 1)","(0, 0)",839808,20608,0,0.024538942234415485,0,0.024538942234415485,0,0.024538942234415485,0.0,0.02685546875,0.107421875,0.0
"(-1, 256, 27, 27)","(-1, 32, 27, 27)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,186624,0,"(0, 0)","(0, 0)",0,23328,0,0,"(0, 0)","(0, 0)",186624,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 32, 27, 27)","(-1, 128, 27, 27)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,23328,0,"(0, 0)","(0, 0)",0,93312,0,0,"(0, 0)","(0, 0)",23328,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 32, 27, 27)","(-1, 128, 27, 27)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,209952,10240,"(0, 0)","(1, 1)",0,839808,40960,0,"(1, 1)","(0, 0)",209952,10240,0,0.048773052888279225,0,0.048773052888279225,0,0.048773052888279225,0.0,0.013671875,0.0546875,0.0
"(-1, 256, 27, 27)","(-1, 48, 27, 27)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,186624,0,"(0, 0)","(0, 0)",0,34992,0,0,"(0, 0)","(0, 0)",186624,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
