input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 3, 224, 224)","(-1, 16, 112, 112)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,344763,6075,"(1, 1)","(1, 1)",0,7225344,5419008,0,"(1, 1)","(1, 1)",1366875,16152,594960,0.01762080037591041,0,0.75,0,0.011816735253772291,0.7477528202859498,0.015483856201171875,2.296875,2.26959228515625
"(-1, 16, 112, 112)","(-1, 16, 112, 112)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,1806336,21440,"(0, 0)","(1, 1)",0,1806336,21440,0,"(1, 1)","(0, 0)",1806336,21440,0,0.011869331065759638,0,0.011869331065759638,0,0.011869331065759638,0.0,0.027587890625,0.027587890625,0.0
"(-1, 16, 112, 112)","(-1, 16, 112, 112)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,200704,0,"(0, 0)","(0, 0)",0,200704,0,0,"(0, 0)","(0, 0)",200704,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 16, 112, 112)","(-1, 64, 112, 112)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,200704,0,"(0, 0)","(0, 0)",0,802816,0,0,"(0, 0)","(0, 0)",200704,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 64, 112, 112)","(-1, 64, 56, 56)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,1871424,65088,"(1, 1)","(1, 1)",0,7225344,5419008,0,"(1, 1)","(1, 1)",7354944,172544,587840,0.034779932286857496,0,0.75,0,0.02345959398195282,0.7454752049346645,0.166259765625,2.296875,2.242431640625
"(-1, 64, 56, 56)","(-1, 24, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,200704,0,"(0, 0)","(0, 0)",0,75264,0,0,"(0, 0)","(0, 0)",200704,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 24, 56, 56)","(-1, 72, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,75264,0,"(0, 0)","(0, 0)",0,225792,0,0,"(0, 0)","(0, 0)",75264,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 72, 56, 56)","(-1, 72, 56, 56)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,2032128,48096,"(0, 0)","(1, 1)",0,2032128,48096,0,"(1, 1)","(0, 0)",2032128,48096,0,0.02366780045351474,0,0.02366780045351474,0,0.02366780045351474,0.0,0.0626220703125,0.0626220703125,0.0
"(-1, 72, 56, 56)","(-1, 24, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,225792,0,"(0, 0)","(0, 0)",0,75264,0,0,"(0, 0)","(0, 0)",225792,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 24, 56, 56)","(-1, 72, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,75264,0,"(0, 0)","(0, 0)",0,225792,0,0,"(0, 0)","(0, 0)",75264,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
