input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 3, 224, 224)","(-1, 64, 111, 111)","(3, 3)","(2, 2)","(0, 0)",0,"(0, 0)",0,338688,2013,"(1, 1)","(2, 2)",0,28901376,21718976,0,"(0, 0)","(1, 1)",1342683,4011,2337280,0.0059435232426303854,0,0.7514858808106576,0,0.002987302289520311,0.7477324379107717,0.005138397216796875,9.241943359375,8.916015625
"(-1, 64, 55, 55)","(-1, 16, 55, 55)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,193600,0,"(0, 0)","(0, 0)",0,48400,0,0,"(0, 0)","(0, 0)",193600,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 16, 55, 55)","(-1, 64, 55, 55)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,48400,0,"(0, 0)","(0, 0)",0,193600,0,0,"(0, 0)","(0, 0)",48400,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 16, 55, 55)","(-1, 64, 55, 55)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,435600,10496,"(0, 0)","(1, 1)",0,1742400,41984,0,"(1, 1)","(0, 0)",435600,10496,0,0.02409550045913682,0,0.02409550045913682,0,0.02409550045913682,0.0,0.013671875,0.0546875,0.0
"(-1, 128, 55, 55)","(-1, 16, 55, 55)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,387200,0,"(0, 0)","(0, 0)",0,48400,0,0,"(0, 0)","(0, 0)",387200,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 16, 55, 55)","(-1, 64, 55, 55)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,48400,0,"(0, 0)","(0, 0)",0,193600,0,0,"(0, 0)","(0, 0)",48400,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 16, 55, 55)","(-1, 64, 55, 55)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,435600,10496,"(0, 0)","(1, 1)",0,1742400,41984,0,"(1, 1)","(0, 0)",435600,10496,0,0.02409550045913682,0,0.02409550045913682,0,0.02409550045913682,0.0,0.013671875,0.0546875,0.0
"(-1, 128, 27, 27)","(-1, 32, 27, 27)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,93312,0,"(0, 0)","(0, 0)",0,23328,0,0,"(0, 0)","(0, 0)",93312,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 32, 27, 27)","(-1, 128, 27, 27)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,23328,0,"(0, 0)","(0, 0)",0,93312,0,0,"(0, 0)","(0, 0)",23328,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 32, 27, 27)","(-1, 128, 27, 27)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,209952,10240,"(0, 0)","(1, 1)",0,839808,40960,0,"(1, 1)","(0, 0)",209952,10240,0,0.048773052888279225,0,0.048773052888279225,0,0.048773052888279225,0.0,0.013671875,0.0546875,0.0
"(-1, 256, 27, 27)","(-1, 32, 27, 27)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,186624,0,"(0, 0)","(0, 0)",0,23328,0,0,"(0, 0)","(0, 0)",186624,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 32, 27, 27)","(-1, 128, 27, 27)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,23328,0,"(0, 0)","(0, 0)",0,93312,0,0,"(0, 0)","(0, 0)",23328,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 32, 27, 27)","(-1, 128, 27, 27)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,209952,10240,"(0, 0)","(1, 1)",0,839808,40960,0,"(1, 1)","(0, 0)",209952,10240,0,0.048773052888279225,0,0.048773052888279225,0,0.048773052888279225,0.0,0.013671875,0.0546875,0.0
"(-1, 256, 13, 13)","(-1, 48, 13, 13)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,43264,0,"(0, 0)","(0, 0)",0,8112,0,0,"(0, 0)","(0, 0)",43264,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 48, 13, 13)","(-1, 192, 13, 13)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,8112,0,"(0, 0)","(0, 0)",0,32448,0,0,"(0, 0)","(0, 0)",8112,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 48, 13, 13)","(-1, 192, 13, 13)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,73008,7296,"(0, 0)","(1, 1)",0,292032,29184,0,"(1, 1)","(0, 0)",73008,7296,0,0.09993425378040763,0,0.09993425378040763,0,0.09993425378040763,0.0,0.01025390625,0.041015625,0.0
"(-1, 384, 13, 13)","(-1, 48, 13, 13)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,64896,0,"(0, 0)","(0, 0)",0,8112,0,0,"(0, 0)","(0, 0)",64896,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 48, 13, 13)","(-1, 192, 13, 13)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,8112,0,"(0, 0)","(0, 0)",0,32448,0,0,"(0, 0)","(0, 0)",8112,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 48, 13, 13)","(-1, 192, 13, 13)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,73008,7296,"(0, 0)","(1, 1)",0,292032,29184,0,"(1, 1)","(0, 0)",73008,7296,0,0.09993425378040763,0,0.09993425378040763,0,0.09993425378040763,0.0,0.01025390625,0.041015625,0.0
"(-1, 384, 13, 13)","(-1, 64, 13, 13)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,64896,0,"(0, 0)","(0, 0)",0,10816,0,0,"(0, 0)","(0, 0)",64896,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 64, 13, 13)","(-1, 256, 13, 13)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,10816,0,"(0, 0)","(0, 0)",0,43264,0,0,"(0, 0)","(0, 0)",10816,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 64, 13, 13)","(-1, 256, 13, 13)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,97344,9728,"(0, 0)","(1, 1)",0,389376,38912,0,"(1, 1)","(0, 0)",97344,9728,0,0.09993425378040763,0,0.09993425378040763,0,0.09993425378040763,0.0,0.013671875,0.0546875,0.0
"(-1, 512, 13, 13)","(-1, 64, 13, 13)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,86528,0,"(0, 0)","(0, 0)",0,10816,0,0,"(0, 0)","(0, 0)",86528,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 64, 13, 13)","(-1, 256, 13, 13)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,10816,0,"(0, 0)","(0, 0)",0,43264,0,0,"(0, 0)","(0, 0)",10816,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 64, 13, 13)","(-1, 256, 13, 13)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,97344,9728,"(0, 0)","(1, 1)",0,389376,38912,0,"(1, 1)","(0, 0)",97344,9728,0,0.09993425378040763,0,0.09993425378040763,0,0.09993425378040763,0.0,0.013671875,0.0546875,0.0
"(-1, 512, 13, 13)","(-1, 1000, 13, 13)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,86528,0,"(0, 0)","(0, 0)",0,169000,0,0,"(0, 0)","(0, 0)",86528,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
