input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 3, 224, 224)","(-1, 64, 224, 224)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,1354752,8052,"(0, 0)","(1, 1)",0,28901376,171776,0,"(1, 1)","(0, 0)",1354752,8052,0,0.0059435232426303854,0,0.0059435232426303854,0,0.0059435232426303854,0.0,0.0102996826171875,0.2197265625,0.0
"(-1, 64, 224, 224)","(-1, 64, 224, 224)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,28901376,171776,"(0, 0)","(1, 1)",0,28901376,171776,0,"(1, 1)","(0, 0)",28901376,171776,0,0.0059435232426303854,0,0.0059435232426303854,0,0.0059435232426303854,0.0,0.2197265625,0.2197265625,0.0
"(-1, 64, 112, 112)","(-1, 128, 112, 112)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,7225344,85760,"(0, 0)","(1, 1)",0,14450688,171520,0,"(1, 1)","(0, 0)",7225344,85760,0,0.011869331065759638,0,0.011869331065759638,0,0.011869331065759638,0.0,0.1103515625,0.220703125,0.0
"(-1, 128, 112, 112)","(-1, 128, 112, 112)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,14450688,171520,"(0, 0)","(1, 1)",0,14450688,171520,0,"(1, 1)","(0, 0)",14450688,171520,0,0.011869331065759638,0,0.011869331065759638,0,0.011869331065759638,0.0,0.220703125,0.220703125,0.0
"(-1, 128, 56, 56)","(-1, 256, 56, 56)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,3612672,85504,"(0, 0)","(1, 1)",0,7225344,171008,0,"(1, 1)","(0, 0)",3612672,85504,0,0.02366780045351474,0,0.02366780045351474,0,0.02366780045351474,0.0,0.111328125,0.22265625,0.0
"(-1, 256, 56, 56)","(-1, 256, 56, 56)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,7225344,171008,"(0, 0)","(1, 1)",0,7225344,171008,0,"(1, 1)","(0, 0)",7225344,171008,0,0.02366780045351474,0,0.02366780045351474,0,0.02366780045351474,0.0,0.22265625,0.22265625,0.0
"(-1, 256, 56, 56)","(-1, 256, 56, 56)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,7225344,171008,"(0, 0)","(1, 1)",0,7225344,171008,0,"(1, 1)","(0, 0)",7225344,171008,0,0.02366780045351474,0,0.02366780045351474,0,0.02366780045351474,0.0,0.22265625,0.22265625,0.0
"(-1, 256, 56, 56)","(-1, 256, 56, 56)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,7225344,171008,"(0, 0)","(1, 1)",0,7225344,171008,0,"(1, 1)","(0, 0)",7225344,171008,0,0.02366780045351474,0,0.02366780045351474,0,0.02366780045351474,0.0,0.22265625,0.22265625,0.0
"(-1, 256, 28, 28)","(-1, 512, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,1806336,84992,"(0, 0)","(1, 1)",0,3612672,169984,0,"(1, 1)","(0, 0)",1806336,84992,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.11328125,0.2265625,0.0
"(-1, 512, 28, 28)","(-1, 512, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,3612672,169984,"(0, 0)","(1, 1)",0,3612672,169984,0,"(1, 1)","(0, 0)",3612672,169984,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.2265625,0.2265625,0.0
